X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
807,995,18817058
807,995,18817070
806,996,18817082
806,997,18817091
806,997,18817103
806,998,18817129
805,998,18817136
805,999,18817147
807,990,18817161
808,983,18817169
802,997,18817179
779,1047,18817192
910,1558,18817427
646,1347,18817436
710,1265,18817447
744,1190,18817458
746,1158,18817469
640,1126,18817480
648,1115,18817491
659,1094,18817504
673,1071,18817514
682,1060,18817525
671,1029,18817551
684,1012,18817558
677,1001,18817570
673,1019,18817582
673,1012,18817591
674,1008,18817603
671,1015,18817629
678,1004,18817636
676,1007,18817661
678,997,18817670
680,1000,18817680
680,982,18817693
681,980,18817703
688,979,18817714
692,977,18817739
693,976,18817747
691,969,18817758
681,940,18817771
660,893,18817780
602,773,18817791
550,624,18817803
532,571,18817818
513,514,18817824
496,461,18817836
455,344,18817848
402,182,18817858
386,128,18817869
385,127,18817881
391,123,18817895
391,130,18817903
384,128,18817914
380,130,18817927
353,119,18817936
150,48,18817947
148,48,18817958
144,47,18817969
141,47,18817981
139,46,18817991
120,40,18818004
119,42,18818014
120,44,18818025
120,44,18818051
118,45,18818058
119,44,18818082
121,44,18818091
122,44,18818102
122,43,18818114
122,40,18818124
122,39,18818136
121,38,18818161
120,36,18818169
121,35,18818180
121,35,18818193
121,35,18818202
120,36,18818213
116,39,18818239
113,44,18818247
112,46,18818257
111,48,18818270
109,50,18818280
105,49,18818291
104,47,18818317
104,45,18818324
105,43,18818336
106,42,18818349
104,41,18818357
104,40,18818369
101,41,18818394
132,43,18818402
147,43,18818413
344,43,18818425
377,43,18818436
424,42,18818447
443,42,18818472
593,41,18818480
597,39,18818491
600,39,18818503
602,41,18818513
602,40,18818524
605,44,18818550
603,47,18818557
604,47,18818569
604,47,18818581
606,47,18818590
608,47,18818602
613,47,18818628
619,45,18818635
624,42,18818646
628,40,18818659
630,39,18818669
630,40,18818680
630,41,18818690
630,44,18818706
630,45,18818713
630,47,18818724
630,48,18818737
631,51,18818746
630,52,18818757
630,52,18818784
623,54,18818791
619,54,18818816
579,54,18818824
